	PLAYER	2021/22 	2022/23	2023/24	2024/25
464.	Kyle Singler	$999,200	$999,200	$0	$0
465.	Kelan Martin	$993,760	$0	$0	$0
466.	Miye Oni	$946,261	$0	$0	$0
467.	Ayo Dosunmu	$925,258	$1,563,518	$0	$0
467.	Marko Simonovic	$925,258	$1,563,518	$1,836,096	$0
467.	BJ Boston	$925,258	$1,563,518	$1,836,096	$0
467.	Austin Reaves	$925,258	$1,563,518	$0	$0
467.	Miles McBride	$925,258	$1,563,518	$1,836,096	$0
467.	Vit Krejci	$925,258	$1,563,518	$1,836,096	$1,988,598
467.	Charles Bassey	$925,258	$1,563,518	$1,836,096	$0
467.	Greg Brown	$925,258	$1,563,518	$1,836,096	$0
467.	Jock Landale	$925,258	$1,563,518	$0	$0
467.	Jared Butler	$925,258	$1,563,518	$0	$0
467.	Luka Garza	$925,258	$1,563,518	$0	$0
467.	Dalano Banton	$925,258	$1,563,518	$0	$0
479.	Daishen Nix	$923,078	$1,563,518	$1,836,096	$1,988,598
480.	Isaiah Thomas	$910,926	$0	$0	$0
481.	Terry Taylor	$895,125	$1,563,518	$1,836,096	$0
482.	Mamadi Diakite	$869,078	$0	$0	$0
483.	Caleb Martin	$844,011	$1,576,305	$0	$0
484.	Brad Wanamaker	$814,918	$0	$0	$0
485.	Luke Kornet	$812,364	$0	$0	$0
486.	Wayne Selden	$812,363	$0	$0	$0
487.	Gary Clark	$811,213	$1,576,305	$0	$0
488.	Ryan Arcidiacono	$774,727	$0	$0	$0
489.	Trendon Watford	$768,830	$1,563,518	$1,836,096	$1,988,598
490.	Patrick Patterson	$737,067	$0	$0	$0
491.	Devontae Cacok	$726,128	$1,576,305	$0	$0
492.	Admiral Schofield	$723,741	$1,576,305	$0	$0
493.	Ishmail Wainright	$707,893	$1,701,305	$0	$0
494.	Shaun Livingston	$666,666	$0	$0	$0
495.	Malik Fitts	$630,874	$1,752,638	$0	$0
496.	Sam Hauser	$619,498	$1,563,518	$0	$0
497.	Greg Monroe	$612,805	$0	$0	$0
498.	Amir Coffey	$573,576	$1,576,305	$0	$0
499.	Joe Wieskamp	$563,663	$1,576,305	$0	$0
500.	Keifer Sykes	$558,345	$1,563,518	$0	$0
501.	Haywood Highsmith	$547,701	$1,752,638	$1,902,137	$0
502.	Nik Stauskas	$534,993	$2,193,920	$0	$0
503.	Davon Reed	$532,398	$1,576,305	$0	$0
504.	Wenyen Gabriel	$522,015	$1,878,720	$0	$0
505.	Skylar Mays	$510,907	$1,576,305	$0	$0
506.	Georgios Kalaitzakis	$499,852	$0	$0	$0
507.	RJ Nembhard	$491,876	$1,576,305	$0	$0
508.	Chris Silva	$479,650	$0	$0	$0
509.	Kessler Edwards	$463,211	$1,563,518	$0	$0
509.	Trent Forrest	$463,211	$1,576,305	$0	$0
511.	Sandro Mamukelashvili	$462,629	$502,080	$0	$0
511.	Jericho Sims	$462,629	$502,080	$0	$0
511.	Sharife Cooper	$462,629	$1,576,305	$0	$0
511.	Brodric Thomas	$462,629	$1,576,305	$0	$0
511.	David Duke	$462,629	$1,576,305	$0	$0
511.	Arnoldas Kulboka	$462,629	$1,576,305	$0	$0
511.	Scottie Lewis	$462,629	$1,576,305	$0	$0
511.	Tyler Cook	$462,629	$1,576,305	$0	$0
511.	Markus Howard	$462,629	$1,576,305	$0	$0
511.	Jamorko Pickett	$462,629	$1,576,305	$0	$0
511.	Sean Chris Smith	$462,629	$1,576,305	$0	$0
511.	Chris Chiozza	$462,629	$1,576,305	$0	$0
511.	Jay Scrubb	$462,629	$1,576,305	$0	$0
511.	Yves Pons	$462,629	$1,576,305	$0	$0
511.	Nathan Knight	$462,629	$1,576,305	$0	$0
511.	McKinley Wright	$462,629	$1,576,305	$0	$0
511.	Ignas Brazdeikis	$462,629	$1,576,305	$0	$0
511.	Keljin Blevins	$462,629	$1,576,305	$0	$0
511.	Neemias Queta	$462,629	$1,576,305	$0	$0
511.	Justin Champagnie	$462,629	$1,576,305	$0	$0
511.	David Johnson	$462,629	$1,576,305	$0	$0
511.	Joel Ayayi	$462,629	$1,576,305	$0	$0
511.	Cassius Winston	$462,629	$1,576,305	$0	$0
534.	Justin Anderson	$445,828	$0	$0	$0
535.	Theo Pinson	$440,710	$1,576,305	$0	$0
536.	Charlie Brown	$431,151	$502,080	$0	$0
537.	James Ennis	$386,127	$0	$0	$0
537.	Langston Galloway	$386,127	$0	$0	$0
537.	Tim Frazier	$386,127	$0	$0	$0
540.	Kyle Guy	$383,079	$0	$0	$0
541.	Sam Dekker	$350,000	$0	$0	$0
542.	Quinndary Weatherspoon	$346,491	$0	$0	$0
543.	Brandon Goodwin	$343,988	$1,576,305	$0	$0
544.	Malcolm Hill	$324,373	$1,576,305	$0	$0
545.	Louis King	$316,396	$0	$0	$0
546.	Justin Jackson	$308,493	$0	$0	$0
546.	Shaquille Harrison	$308,493	$0	$0	$0
546.	DJ Wilson	$308,493	$0	$0	$0
549.	Jeff Dowtin	$305,761	$0	$0	$0
550.	Trevelin Queen	$303,102	$0	$0	$0
550.	Paul Watson	$303,102	$0	$0	$0
552.	Myles Powell	$300,443	$1,576,305	$0	$0
553.	Jontay Porter	$300,000	$0	$0	$0
554.	Mason Jones	$295,125	$1,576,305	$0	$0
555.	Eugene Omoruyi	$281,831	$0	$0	$0
556.	Brandon Knight	$274,672	$0	$0	$0
557.	Justin Robinson	$265,953	$0	$0	$0
558.	Ja'Vonte Smart	$265,878	$502,080	$0	$0
559.	Mychal Mulder	$257,902	$502,080	$0	$0
560.	Tyler Johnson	$257,418	$0	$0	$0
561.	Cassius Stanley	$256,734	$0	$0	$0
561.	Zylan Cheatham	$256,734	$0	$0	$0
563.	Devon Dotson	$239,291	$0	$0	$0
564.	Marcus Garrett	$236,632	$0	$0	$0
565.	Lindell Wigginton	$233,973	$0	$0	$0
566.	Jay Huff	$225,997	$0	$0	$0
567.	Olivier Sarr	$223,339	$0	$0	$0
568.	Aaron Henry	$223,338	$0	$0	$0
569.	Freddie Gillespie	$221,156	$0	$0	$0
570.	JaQuori McLaughlin	$220,679	$0	$0	$0
571.	Rayjon Tucker	$220,639	$1,815,677	$1,968,182	$0
572.	Tacko Fall	$218,021	$0	$0	$0
572.	Petr Cornelie	$218,021	$0	$0	$0
574.	Juwan Morgan	$211,046	$1,815,677	$0	$0
575.	Damyean Dotson	$205,662	$0	$0	$0
576.	Xavier Moon	$202,069	$0	$0	$0
577.	Tyrone Wallace	$198,760	$0	$0	$0
578.	Norvel Pelle	$191,860	$0	$0	$0
578.	Jaylen Hoard	$191,860	$0	$0	$0
578.	Tremont Waters	$191,860	$0	$0	$0
581.	Reggie Perry	$188,272	$0	$0	$0
582.	Devin Cannady	$185,578	$1,752,638	$1,902,137	$0
583.	Brandon Williams	$180,798	$502,080	$0	$0
584.	Moses Wright	$172,821	$0	$0	$0
584.	DeJon Jarreau	$172,821	$0	$0	$0
586.	Dakota Mathias	$171,156	$0	$0	$0
586.	Matt Mooney	$171,156	$0	$0	$0
588.	Daulton Hommes	$167,504	$0	$0	$0
589.	Grant Riller	$162,186	$0	$0	$0
590.	Lindy Waters III	$159,527	$502,080	$0	$0
591.	Joe Johnson	$151,821	$0	$0	$0
591.	CJ Miles	$151,821	$0	$0	$0
591.	Ersan Ilyasova	$151,821	$0	$0	$0
591.	Darren Collison	$151,821	$0	$0	$0
591.	Anthony Tolliver	$151,821	$0	$0	$0
596.	Chaundee Brown	$151,552	$502,080	$0	$0
597.	Xavier Sneed	$146,233	$502,080	$0	$0
598.	Mario Chalmers	$138,019	$0	$0	$0
599.	Anthony Lamb	$136,095	$0	$0	$0
600.	Braxton Key	$127,622	$502,080	$0	$0
601.	Troy Williams	$122,741	$0	$0	$0
602.	Feron Hunt	$116,987	$502,080	$0	$0
603.	Mac McClung	$111,670	$0	$0	$0
